id,config.x,config.y,result,metadata.timing.start,metadata.timing.end,metadata.search-mode
230123-142329-3971-cute-dare,0.35336284493129,2.7870147346725105,89.63760469706334,1674483809.397541,1674483809.397558,random
230123-142330-0584-wise-till,0.406766701568257,4.26428802973178,201.9852991402761,1674483810.058916,1674483810.058924,random
230123-142330-6631-numb-deal,3.1433622204699594,-0.9424701036306792,33.69132617876554,1674483810.663349,1674483810.663353,random
230123-142331-3340-arid-mark,4.315575603347599,2.1026730552833275,121.8888875140818,1674483811.334246,1674483811.33425,random
230123-142331-8988-wavy-lack,-0.7317098858772311,2.2690537093430745,95.74262052261876,1674483811.899043,1674483811.899047,random
230123-142332-5603-used-turn,-3.896475901645012,-2.3759099327399493,46.51825335056163,1674483812.560577,1674483812.560582,random
230123-142333-2112-firm-body,0.6570995019241197,-0.5038630151919885,179.49191018305422,1674483813.211459,1674483813.211463,random
230123-142333-9496-able-site,-0.5333147611897591,-2.02912021208957,191.8004476198452,1674483813.950185,1674483813.950194,random
230123-142334-6102-thin-drag,-0.2495513344213265,4.028673923180458,152.29116739373637,1674483814.610493,1674483814.610497,random
230123-142335-3139-tart-jury,2.913054033019497,1.811469112860708,24.410580584121192,1674483815.314192,1674483815.314197,random
230123-142335-8944-tart-rice,-0.6400708688327823,-1.6269604729671991,192.2454372800356,1674483815.894683,1674483815.894687,random
230123-142336-6337-fair-wife,-4.12609500212346,-0.3865173950137031,169.82701440369567,1674483816.633946,1674483816.63395,random
230123-142337-2908-lone-tale,0.3146572962558354,2.402205467314265,95.6256564904611,1674483817.291096,1674483817.2911,random
230123-142337-9415-flat-draw,-4.427126917938867,-4.224080451237807,73.86781409387106,1674483817.941717,1674483817.941721,random
230123-142338-5958-slow-host,-4.33627708607245,3.7966314210384446,165.6617810320173,1674483818.596029,1674483818.596036,random
230123-142339-2904-oily-home,-3.89583210563237,3.389315619711603,79.04824016372277,1674483819.290636,1674483819.29064,random
230123-142339-9156-sour-hand,0.0101484928942046,-3.582409484766207,263.21639842679025,1674483819.915844,1674483819.915847,random
230123-142340-6342-open-ease,3.5908824219822257,-1.9062639746471144,19.93981834299438,1674483820.634476,1674483820.634481,bayesian-optimization
230123-142341-3289-rash-head,3.575598330398636,-1.8893212638318224,19.93044462396486,1674483821.329117,1674483821.329121,bayesian-optimization
230123-142342-0459-free-nail,3.586119159867684,-1.8856308052222424,19.92815824991295,1674483822.046204,1674483822.046208,bayesian-optimization
230123-142342-7881-sore-lack,3.565155164766928,-1.8235554055591177,19.983830037390216,1674483822.788406,1674483822.788409,bayesian-optimization
230123-142343-5235-neat-long,3.577999159099136,-1.8692143327902315,19.92947097664425,1674483823.52373,1674483823.523734,bayesian-optimization
230123-142344-3088-ripe-rent,3.580074754083453,-1.8768537413652808,19.927311853557324,1674483824.30907,1674483824.309074,bayesian-optimization
230123-142345-0230-tiny-soup,3.5800266504171194,-1.8767598433188528,19.927329706753184,1674483825.023258,1674483825.023265,bayesian-optimization
230123-142345-7464-oily-yard,-3.663858117758365,-3.163085364470736,15.985395545903277,1674483825.746679,1674483825.746683,bayesian-optimization
230123-142346-4335-thin-oven,-3.649296023282452,-3.196992172862917,15.935754017061344,1674483826.433725,1674483826.433732,bayesian-optimization
230123-142347-1414-deep-fear,-3.6419368286251306,-3.2045569920461072,15.998622744374158,1674483827.14163,1674483827.141634,bayesian-optimization
230123-142347-8884-loud-wing,-3.6701396208406223,-3.201901736222336,15.67351328643013,1674483827.888673,1674483827.888677,bayesian-optimization
230123-142348-5892-meek-knee,-3.711898996316388,-3.241391520080556,15.15935065965862,1674483828.58952,1674483828.589527,bayesian-optimization
